iter	Passed	Remaining
429	1602	2124
430	1605	2119
431	1609	2115
432	1611	2110
433	1615	2106
434	1618	2101
435	1620	2096
436	1623	2092
437	1627	2087
438	1630	2083
439	1632	2078
440	1635	2073
441	1638	2068
442	1642	2064
443	1644	2059
444	1647	2055
445	1650	2050
446	1653	2045
447	1656	2041
448	1659	2036
449	1662	2032
450	1666	2028
451	1669	2024
452	1672	2020
453	1676	2015
454	1679	2011
455	1682	2007
456	1686	2003
457	1689	1999
458	1692	1995
459	1696	1991
460	1699	1987
461	1703	1983
462	1706	1979
463	1710	1975
464	1713	1971
465	1717	1968
466	1720	1964
467	1724	1960
468	1728	1956
469	1732	1953
470	1735	1949
471	1738	1945
472	1743	1942
473	1747	1939
474	1751	1935
475	1755	1932
476	1759	1928
477	1762	1925
478	1766	1921
479	1771	1918
480	1774	1915
481	1778	1911
482	1782	1907
483	1785	1903
484	1789	1900
485	1793	1896
486	1797	1893
487	1801	1890
488	1805	1886
489	1808	1882
490	1811	1877
491	1814	1873
492	1818	1869
493	1821	1865
494	1824	1861
495	1827	1857
496	1831	1853
497	1835	1849
498	1838	1845
499	1841	1841
500	1845	1838
501	1848	1833
502	1851	1829
503	1854	1825
504	1857	1820
505	1860	1816
506	1864	1812
507	1867	1809
508	1871	1805
509	1874	1801
510	1878	1797
511	1881	1793
512	1885	1789
513	1889	1786
514	1892	1782
515	1896	1779
516	1900	1775
517	1904	1771
518	1907	1767
519	1910	1763
520	1914	1760
521	1918	1756
522	1921	1752
523	1925	1748
524	1929	1745
525	1933	1742
526	1936	1738
527	1940	1734
528	1944	1731
529	1947	1727
530	1951	1723
531	1954	1719
532	1959	1716
533	1963	1713
534	1966	1709
535	1970	1705
536	1974	1702
537	1977	1698
538	1981	1694
539	1984	1690
540	1987	1686
541	1992	1683
542	1996	1679
543	1999	1675
544	2002	1671
545	2006	1668
546	2009	1664
547	2012	1659
548	2015	1655
549	2018	1651
550	2021	1647
551	2024	1643
552	2027	1639
553	2030	1634
554	2034	1630
555	2036	1626
556	2040	1622
557	2043	1618
558	2046	1614
559	2049	1610
560	2051	1605
561	2053	1600
562	2056	1596
563	2059	1592
564	2062	1588
565	2065	1583
566	2068	1579
567	2071	1575
568	2074	1571
569	2078	1568
570	2081	1564
571	2085	1560
572	2088	1556
573	2091	1552
574	2094	1548
575	2098	1544
576	2101	1540
577	2105	1537
578	2108	1533
579	2112	1529
580	2116	1526
581	2118	1521
582	2122	1518
583	2126	1514
584	2130	1511
585	2133	1507
586	2137	1503
587	2141	1500
588	2144	1496
589	2148	1492
590	2151	1489
591	2155	1485
592	2159	1481
593	2163	1478
