iter	RMSE
179	1920.204665
180	1919.500455
181	1916.918664
182	1915.718109
183	1914.921264
184	1914.492866
185	1912.508686
186	1910.7326
187	1909.281513
188	1906.928099
189	1905.426977
190	1903.89225
191	1903.146569
192	1902.612686
193	1901.143839
194	1900.254604
195	1898.350936
196	1896.534159
197	1895.285518
198	1892.541607
199	1890.225072
200	1888.26641
201	1887.224553
202	1886.171935
203	1884.016424
204	1882.385836
205	1881.707347
206	1879.373554
207	1878.488669
208	1876.32829
209	1874.005809
210	1873.564872
211	1871.661658
212	1870.688275
213	1870.022255
214	1867.939597
215	1865.938165
216	1865.16885
217	1864.242596
218	1862.584814
219	1862.236723
220	1861.913499
221	1861.127784
222	1859.998839
223	1859.830497
224	1858.966707
225	1856.895115
226	1856.302215
227	1855.141727
228	1854.038462
229	1853.691408
230	1853.563971
231	1852.734979
232	1852.567708
233	1852.431349
234	1851.119298
235	1849.670005
236	1848.855859
237	1847.22307
238	1847.074673
239	1845.240453
240	1844.49344
241	1844.369433
242	1842.193596
243	1842.057289
244	1840.467658
245	1838.762519
246	1838.632334
247	1837.161977
248	1836.096649
249	1834.477969
250	1832.35555
251	1831.610496
252	1831.486803
253	1831.346141
254	1829.476629
255	1827.978254
256	1826.603853
257	1826.474804
258	1824.705092
259	1823.682665
260	1822.628585
261	1820.964139
262	1819.598234
263	1817.950194
264	1816.324392
265	1815.199055
266	1813.969205
267	1812.164971
268	1812.053684
269	1812.013794
270	1811.911928
271	1810.913233
272	1810.819511
273	1809.632854
274	1808.898138
275	1807.864923
276	1805.822538
277	1805.786292
278	1804.6616
279	1803.377671
280	1801.674167
281	1801.637416
282	1800.192201
283	1798.628103
284	1798.595763
285	1797.863364
286	1796.500652
287	1795.528528
288	1794.833056
289	1793.477455
290	1791.978183
291	1791.947958
292	1790.988614
293	1789.746068
294	1789.662042
295	1788.665475
296	1787.340226
297	1785.516659
298	1785.485482
299	1783.903213
300	1783.179706
301	1782.434039
302	1782.415897
303	1781.373441
304	1780.225606
305	1778.648763
306	1777.783993
307	1776.872314
308	1774.071939
309	1773.27545
310	1772.232148
311	1771.075006
312	1769.934751
313	1769.059277
314	1767.776081
315	1766.402884
316	1765.352552
317	1764.50163
318	1763.403208
319	1762.380513
320	1761.101029
321	1761.08294
322	1761.065407
323	1758.713054
324	1758.696135
325	1758.125466
326	1757.54383
327	1756.687919
328	1756.671941
329	1755.958894
330	1755.01564
331	1753.906852
332	1752.7612
333	1751.81431
334	1749.661915
335	1749.585399
336	1748.358575
337	1746.621672
338	1745.505164
339	1745.254174
340	1744.70226
341	1743.866636
342	1743.19635
343	1742.390227
344	1741.074788
345	1740.413719
346	1739.604847
347	1738.895849
348	1738.38586
349	1737.819458
350	1736.222805
351	1734.962836
352	1734.354868
353	1733.600054
354	1732.66921
355	1732.654331
356	1731.485959
357	1731.29545
358	1731.192315
359	1730.184806
360	1729.97608
361	1728.96704
362	1728.136534
363	1726.551773
364	1725.49533
365	1724.348517
366	1723.693206
367	1723.02642
368	1721.875059
369	1721.190197
370	1720.661185
371	1720.02749
372	1719.255829
373	1718.223072
374	1717.417654
375	1716.239885
376	1715.73298
377	1714.813661
378	1712.782559
379	1712.717709
380	1711.592589
381	1710.559732
382	1709.521843
383	1708.650542
384	1707.978248
385	1707.149416
386	1705.490324
387	1703.771777
388	1701.392575
389	1699.654412
390	1698.276239
391	1697.357002
392	1696.00309
393	1695.622673
394	1695.609564
395	1694.990335
396	1694.264314
397	1694.203734
398	1693.458066
399	1692.126847
400	1691.2828
401	1690.42658
402	1689.524234
403	1688.38524
404	1687.504573
405	1686.940227
406	1686.394752
407	1685.70264
408	1685.690973
409	1684.793303
410	1684.064297
411	1683.325406
412	1683.166845
413	1682.097164
414	1681.180942
415	1680.586941
416	1680.210271
417	1677.841393
418	1677.514644
419	1676.879859
420	1676.695853
421	1676.016627
422	1674.93988
423	1672.877098
424	1672.423603
425	1672.331476
426	1671.672787
427	1670.602575
428	1670.163576
429	1668.991498
430	1668.897315
431	1667.762144
432	1667.661495
433	1666.625926
434	1665.531579
435	1664.628036
436	1663.475464
437	1662.887741
438	1661.870651
439	1661.439618
440	1661.277427
441	1661.126872
442	1660.580223
443	1660.03452
444	1658.142185
445	1658.132842
446	1657.652623
447	1655.603863
448	1654.970206
449	1654.510302
450	1653.079444
451	1652.351298
452	1651.080353
453	1650.511497
454	1649.250875
455	1648.030687
456	1647.52092
457	1647.471205
458	1646.918255
459	1646.322958
460	1645.923752
461	1644.811579
462	1644.722574
463	1644.278868
464	1643.390466
465	1642.637849
466	1641.546298
467	1640.29359
468	1640.101615
469	1639.596443
470	1638.927904
471	1638.795644
472	1637.680957
473	1636.764812
474	1636.002103
475	1634.948496
476	1634.536544
477	1633.811606
478	1633.80307
479	1632.934288
480	1632.348584
481	1630.896396
482	1630.328652
483	1629.578015
484	1629.13233
485	1627.931341
486	1626.934872
487	1626.415904
488	1626.003805
489	1625.38691
490	1624.61736
491	1623.928464
492	1623.310626
493	1622.00554
494	1621.971017
495	1621.472274
496	1620.570131
497	1619.392702
498	1619.324434
499	1619.315864
500	1618.414898
501	1618.138988
502	1618.130927
503	1617.77244
504	1616.930628
505	1616.572006
506	1616.035917
507	1614.884481
508	1614.215503
509	1613.760776
510	1613.325124
511	1612.942265
512	1612.065243
513	1610.98618
514	1610.181045
515	1608.965205
516	1608.958229
517	1607.426593
518	1607.419552
519	1607.125576
520	1606.346243
521	1605.866413
522	1605.413669
523	1604.433809
524	1603.407015
525	1602.754334
526	1602.323322
527	1602.076189
528	1601.09203
529	1600.272822
530	1599.81558
531	1598.981008
532	1597.893107
533	1597.201421
534	1596.71344
535	1595.669999
536	1594.794942
537	1594.37949
538	1594.127775
539	1593.823425
540	1593.275264
541	1592.966224
542	1591.718268
543	1591.027044
544	1589.64234
545	1589.168973
546	1588.379329
547	1588.373051
548	1588.183546
549	1587.463806
550	1587.185676
551	1586.623525
552	1585.946061
553	1585.286567
554	1583.972588
555	1583.235299
556	1582.440501
557	1581.818319
558	1581.194739
559	1581.188394
560	1581.185179
561	1581.081135
562	1580.874526
563	1579.923361
564	1579.682394
565	1579.456125
566	1579.0415
567	1578.704677
568	1578.405091
569	1577.442804
570	1575.941748
571	1575.91599
572	1574.981585
573	1574.286319
574	1574.059765
575	1573.406764
576	1572.763483
577	1572.446813
578	1571.895867
579	1571.276694
580	1570.154714
581	1570.148809
582	1569.396809
583	1568.310951
584	1567.255778
585	1565.97549
586	1565.316163
587	1564.67153
588	1563.798087
589	1563.039437
590	1562.755963
591	1562.038714
592	1561.894091
593	1561.159377
594	1560.448231
595	1559.667693
596	1559.069944
597	1558.349276
598	1557.722679
599	1556.864647
600	1556.858616
601	1556.291702
602	1555.763076
603	1554.889336
604	1554.43854
605	1553.311122
606	1552.338048
607	1551.582046
608	1550.806332
609	1550.384052
610	1549.501559
611	1548.872617
612	1548.868987
613	1548.680704
614	1548.674106
615	1548.668166
616	1548.662133
617	1547.564086
618	1546.909842
619	1546.904051
620	1546.842044
621	1546.792688
622	1546.111308
623	1545.500073
624	1545.494573
625	1544.997147
626	1544.496717
627	1543.970114
628	1543.018312
629	1542.317045
630	1541.502536
631	1540.900303
632	1540.379358
633	1540.225567
634	1539.811213
635	1539.758886
636	1538.680562
637	1537.885793
638	1537.146844
639	1536.5546
640	1536.029526
641	1535.302838
642	1534.864968
643	1534.223198
644	1533.650804
645	1533.168277
646	1532.569004
647	1531.95536
648	1531.354154
649	1531.176321
650	1530.506524
651	1530.316813
652	1529.92086
653	1529.446771
654	1529.082875
655	1528.719784
656	1528.224738
657	1527.647598
658	1527.185592
659	1526.874495
660	1526.430096
661	1525.85947
662	1525.130519
663	1524.763286
664	1524.476319
665	1523.968971
666	1523.134866
667	1522.521602
668	1522.074602
669	1521.722802
670	1521.554058
671	1521.380414
672	1520.968668
673	1520.821187
674	1520.542863
675	1519.649859
676	1519.568544
677	1519.01424
678	1518.208032
679	1517.483197
680	1516.998979
681	1516.549022
682	1515.880728
683	1515.475505
684	1514.99622
685	1514.330458
686	1513.793564
687	1513.321187
688	1512.709074
689	1512.295516
690	1511.854425
691	1511.852217
692	1511.118907
693	1511.086498
694	1510.793109
695	1510.787848
696	1510.783049
697	1510.651159
698	1510.251985
699	1509.943719
700	1509.463077
701	1508.345153
702	1507.819562
703	1506.88692
704	1506.296209
705	1505.976784
706	1505.28871
707	1505.284548
708	1504.449202
709	1503.830201
710	1503.218866
711	1503.035824
712	1502.287702
713	1502.084333
714	1501.126309
715	1500.685898
716	1499.968035
717	1499.57312
718	1498.913129
719	1498.178499
720	1497.385212
721	1496.811137
722	1496.514063
723	1496.334627
724	1496.009153
725	1495.364725
726	1495.360442
727	1495.04339
728	1494.072828
729	1493.924851
730	1493.558756
731	1493.063112
732	1492.569079
733	1492.31574
734	1491.549483
735	1490.93716
736	1490.397261
737	1489.881219
738	1489.436907
739	1488.977406
740	1488.598771
741	1488.596457
742	1488.238922
743	1488.222371
744	1487.802282
745	1487.677383
746	1487.515958
747	1487.061828
748	1487.057938
749	1487.029356
750	1486.453955
751	1486.109739
752	1485.782087
753	1485.409636
754	1484.880572
755	1484.718342
756	1484.401903
757	1484.13284
758	1483.413195
759	1482.718338
760	1481.704902
761	1481.302013
762	1480.934879
763	1480.121729
764	1480.119709
765	1479.80544
766	1479.801761
767	1478.775733
768	1478.109213
769	1477.774935
770	1477.461045
771	1477.078204
772	1476.87409
773	1476.405361
774	1476.107742
775	1475.791065
776	1475.058702
777	1474.524163
778	1474.047897
779	1473.811919
780	1473.529961
781	1472.959906
782	1472.403104
783	1472.170147
784	1471.936489
785	1471.379386
786	1471.033071
787	1471.01327
788	1470.881402
789	1470.339619
790	1469.424384
791	1468.885873
792	1468.711415
793	1468.217877
794	1468.214598
795	1467.61585
796	1467.031449
797	1466.753291
798	1466.258026
799	1465.98877
800	1465.38395
801	1465.076891
802	1464.294803
803	1463.524769
804	1462.841159
805	1462.584724
806	1462.581755
807	1462.309092
808	1461.786654
809	1461.235423
810	1460.547228
811	1460.27603
812	1459.895939
813	1459.523926
814	1459.043864
815	1458.247179
816	1457.545677
817	1457.165993
818	1456.661082
819	1456.189041
820	1455.91942
821	1455.372165
822	1454.984329
823	1454.54081
824	1454.289419
825	1454.114875
826	1453.713538
827	1453.421239
828	1452.855847
829	1452.627286
830	1452.406421
831	1451.890294
832	1451.455092
833	1450.701286
834	1450.244324
835	1450.146784
836	1449.652267
837	1448.894182
838	1448.661751
839	1447.970106
840	1447.305112
841	1446.894526
842	1446.287077
843	1445.849562
844	1445.134559
845	1444.950011
846	1444.192094
847	1444.188842
848	1443.485244
849	1442.849776
850	1442.581412
851	1442.212191
852	1441.96169
853	1441.343161
854	1441.036064
855	1440.714785
856	1440.12783
857	1439.701472
858	1439.398026
859	1439.17534
860	1438.91507
861	1438.545327
862	1438.138739
863	1437.778374
864	1437.284063
865	1436.882183
866	1436.458357
867	1436.206462
868	1435.862695
869	1435.442293
870	1435.171916
871	1434.771601
872	1434.508355
873	1434.15751
874	1433.808198
875	1433.412438
876	1433.283992
877	1432.891552
878	1432.545625
879	1432.254917
880	1431.848394
881	1431.398234
882	1431.371969
883	1431.130975
884	1430.774499
885	1430.771788
886	1430.304153
887	1429.818279
888	1429.674584
889	1429.320445
890	1429.048013
891	1428.711867
892	1428.042467
893	1427.411698
894	1427.188168
895	1426.739991
896	1426.361775
897	1425.762648
898	1425.234748
899	1424.559598
900	1424.304223
901	1424.017635
902	1423.963135
903	1423.641769
904	1423.358975
905	1423.131254
906	1422.865703
907	1422.322754
908	1421.601473
909	1421.287794
910	1421.179438
911	1420.764108
912	1420.584429
913	1420.292615
914	1419.802604
915	1419.155874
916	1418.888078
917	1418.29053
918	1417.877286
919	1417.633834
920	1417.288678
921	1416.888623
922	1416.643405
923	1416.542312
924	1416.04792
925	1415.547653
926	1414.937569
927	1414.192589
928	1413.955534
929	1413.331218
930	1413.053519
931	1412.456787
932	1411.918001
933	1411.747042
934	1411.118804
935	1410.884592
936	1410.45186
937	1410.045441
938	1409.737476
939	1409.148744
940	1409.145506
941	1409.032828
942	1408.772286
943	1408.197729
944	1407.817508
945	1407.477567
946	1407.193311
947	1406.895957
948	1406.639602
949	1406.33624
950	1406.226994
951	1406.03197
952	1405.514662
953	1404.732236
954	1404.085043
955	1403.818263
956	1403.332011
957	1403.12272
958	1403.030559
959	1402.888814
960	1402.354167
961	1402.075733
962	1401.744646
963	1401.40224
964	1401.247687
965	1400.847928
966	1400.620702
967	1400.154196
968	1400.152939
969	1400.149786
970	1399.907779
971	1399.820168
972	1399.573282
973	1399.570266
974	1399.253207
975	1398.750331
976	1398.287061
977	1398.150311
978	1397.433467
979	1396.986265
980	1396.793802
981	1396.551374
982	1396.256673
983	1395.975248
984	1395.481726
985	1395.29547
986	1394.811164
987	1394.378537
988	1393.69079
989	1393.255472
990	1392.898366
991	1392.798602
992	1392.400546
993	1392.262591
994	1391.93435
995	1391.672185
996	1391.507083
997	1391.246271
998	1390.764972
999	1390.3456
